round,train_loss,train_acc,val_loss,val_acc
1,2.1671,48.53,1.8138,54.93
2,1.8551,69.07,1.4399,82.42
3,1.5025,86.48,1.0574,89.54
4,1.1490,90.55,0.7707,91.05
5,0.8675,91.51,0.5866,92.19
6,0.6702,92.12,0.4732,92.01
7,0.5404,92.55,0.3938,92.70
8,0.4539,92.95,0.3434,93.07
9,0.3965,93.23,0.3079,93.24
10,0.3555,93.59,0.2833,93.68
11,0.3268,93.76,0.2635,93.91
12,0.3062,93.86,0.2536,93.73
13,0.2896,94.01,0.2381,94.23
14,0.2756,94.13,0.2283,94.43
15,0.2645,94.28,0.2223,94.51
16,0.2551,94.43,0.2153,94.64
17,0.2473,94.53,0.2083,94.61
18,0.2407,94.61,0.2008,94.90
19,0.2344,94.67,0.1987,94.90
20,0.2298,94.70,0.1972,94.75
