round,train_loss,train_acc,val_loss,val_acc
1,1.6708,45.08,0.9266,75.34
2,0.9234,70.39,0.5340,87.96
3,0.6349,81.16,0.3917,89.42
4,0.5049,84.86,0.3327,90.72
5,0.4335,86.93,0.3028,91.21
6,0.3931,88.08,0.2826,91.58
7,0.3576,89.18,0.2669,91.87
8,0.3421,89.57,0.2560,92.38
9,0.3224,90.17,0.2450,92.59
10,0.3076,90.56,0.2380,92.93
11,0.2958,90.94,0.2286,93.01
12,0.2825,91.49,0.2199,92.98
13,0.2732,91.66,0.2144,93.33
14,0.2666,91.94,0.2077,93.44
15,0.2572,92.22,0.2006,93.91
16,0.2524,92.28,0.1960,94.05
17,0.2405,92.83,0.1918,94.34
18,0.2356,92.99,0.1857,94.44
19,0.2281,93.10,0.1823,94.59
20,0.2235,93.18,0.1777,94.71
