round,train_loss,train_acc,val_loss,val_acc
1,2.2061,35.42,1.9025,37.73
2,1.9427,40.65,1.5973,65.92
3,1.6975,51.86,1.3373,81.92
4,1.4664,62.53,1.1035,86.28
5,1.2589,70.10,0.9140,85.50
6,1.0854,74.61,0.7679,87.13
7,0.9522,77.65,0.6557,88.45
8,0.8501,79.72,0.5762,89.19
9,0.7709,81.46,0.5179,89.13
10,0.7099,82.75,0.4704,89.85
11,0.6605,83.53,0.4350,89.95
12,0.6224,84.38,0.4068,90.04
13,0.5860,84.99,0.3831,90.39
14,0.5619,85.61,0.3690,90.51
15,0.5445,86.03,0.3540,90.95
16,0.5254,86.22,0.3391,90.85
17,0.5093,86.59,0.3277,91.12
18,0.4935,87.08,0.3163,91.40
19,0.4811,87.29,0.3076,91.48
20,0.4684,87.67,0.3011,91.74
