round,train_loss,train_acc,val_loss,val_acc
1,1.6628,64.37,1.2111,75.04
2,1.3388,68.52,0.9680,80.62
3,1.1269,72.33,0.8107,85.72
4,0.9862,75.15,0.6988,85.50
5,0.8888,77.29,0.6192,86.60
6,0.8092,78.99,0.5640,87.06
7,0.7538,80.49,0.5170,87.77
8,0.7037,81.36,0.4818,88.20
9,0.6657,82.26,0.4537,88.74
10,0.6335,83.14,0.4290,89.12
11,0.6087,84.23,0.4084,89.59
12,0.5869,84.52,0.3920,89.75
13,0.5663,85.04,0.3786,89.97
14,0.5502,85.16,0.3677,90.29
15,0.5338,86.09,0.3568,90.21
16,0.5232,86.23,0.3449,90.48
17,0.5114,86.42,0.3391,90.56
18,0.4939,87.11,0.3285,90.89
19,0.4849,87.21,0.3236,90.83
20,0.4731,87.60,0.3172,91.06
