round,train_loss,train_acc,val_loss,val_acc
1,1.4396,80.38,0.9284,91.14
2,1.0846,85.06,0.6697,92.29
3,0.8622,86.75,0.5183,92.30
4,0.7154,88.07,0.4232,93.17
5,0.6255,88.63,0.3640,93.40
6,0.5608,89.08,0.3242,93.59
7,0.5136,89.61,0.2972,93.76
8,0.4821,90.19,0.2801,93.84
9,0.4562,90.53,0.2622,93.99
10,0.4403,90.58,0.2516,94.35
11,0.4205,90.83,0.2417,94.35
12,0.4060,91.20,0.2342,94.40
13,0.3949,91.09,0.2287,94.38
14,0.3822,91.79,0.2211,94.44
15,0.3782,91.59,0.2162,94.61
16,0.3674,91.85,0.2115,94.62
17,0.3597,91.93,0.2090,94.54
18,0.3518,92.18,0.2059,94.80
19,0.3464,92.29,0.2015,94.82
20,0.3416,92.38,0.2008,94.90
